npv,ipv,atv,ld,ih,wdi,gii,sec_edu_gap,lab_force_gap,wpsi,country,structural_inequality_index,violence_exposure_index,general_danger_index,economic_empowerment_gap,inequality_attitudes_interaction,education_attitudes_interaction,legal_violence_interaction,predicted_violence,predicted_ipv
23.0,47.0,75.0,30.0,6.0,485.73,0.461,13.4,11.900000000000006,0.645,Cambodia,-1.5509907434019023,1.432645057628644,-0.0822611419461783,0.6424622575427973,-2.890640003278112,3.581213948092075,-0.4634213703929364,47.00542293452591,47.00542293452591
70.0,31.0,31.0,20.0,8.0,366.98,0.067,10.0,19.000000000000007,0.848,Korea (Republic of),0.812253279196535,-1.1251679056926152,-0.5402935484784519,0.577866700944822,-0.1099757377539194,-0.1702348179831422,0.9291176985837866,31.011417194891706,31.011417194891706
26.0,100.0,52.0,46.0,6.0,542.75,0.425,6.200000000000003,44.0,0.637,Morocco,-2.6863984631669813,2.1666756647701506,0.3427213849516669,1.148626014712002,-2.1994513673744254,0.4216152234738851,1.0404072783183564,99.99687122384356,99.99687122384356
88.0,31.0,26.0,15.0,49.0,576.05,0.309,1.6000000000000083,31.60000000000001,0.551,Mexico,-1.3661289931327605,-1.5428056655580005,0.7015998964153306,0.2321068231965914,0.4953175845413968,0.139110677590647,1.6614512007893194,30.996367399884285,30.996367399884285
30.0,66.0,69.0,69.0,8.0,527.64,0.228,3.4000000000000057,26.39999999999999,0.738,Malaysia,-1.2126809040468425,1.6849416433010878,0.7227437794570841,0.2120046379341589,-1.929531296999315,-0.0509772121490587,2.7556296188568234,65.99918327813032,65.99918327813032
69.0,56.0,15.0,20.0,4.0,302.81,0.025,2.9000000000000057,8.899999999999999,0.908,Netherlands,1.9602767449069132,-0.912336797266483,-0.7902203540285999,-0.4961894969203866,-1.6904516067967843,0.1118614330304628,0.7533704624179993,55.99256988957053,55.99256988957053
66.0,62.0,18.0,22.0,5.0,259.92,0.016,0.2000000000000028,11.700000000000005,0.92,Norway,2.026533659903405,-0.5995895906677299,-0.8566183722813264,-0.6544233943008445,-1.471362703421449,0.4771433257437582,0.4348834312689911,61.98782435996643,61.98782435996643
30.0,32.0,23.0,31.0,25.0,408.23,0.419,-4.300000000000011,24.5,0.612,Philippines,-1.2244372560451986,-0.7901984322289823,0.0683350344081332,-0.6117034181557311,0.6108407787984803,0.7664113649021956,0.2159169054819326,31.990563476445608,31.990563476445608
11.0,29.0,16.0,30.0,4.0,291.23,0.109,4.200000000000003,16.299999999999997,0.859,Poland,0.8984299467030866,-0.8352030439721946,-0.6546956589149795,-0.0903950218872503,-0.7339442181398989,-0.1014992642782352,0.2701652702691093,29.008390572479794,29.008390572479794
6.0,42.0,20.0,17.0,10.0,277.58,0.067,2.199999999999996,8.200000000000003,0.877,Portugal,1.7963856246979848,-0.2601801734067454,-0.8002632859034676,-0.5909383314120102,-1.1410269155919623,0.1692534901399593,0.2540516636911527,42.00380607433803,42.00380607433803
40.0,47.0,41.0,50.0,77.0,592.71,0.203,3.1000000000000085,15.200000000000005,0.752,Russian Federation,-0.2296547944949455,0.0854927468421006,1.845421032696618,-0.2392860475169425,-0.0732490127029042,-0.0289115372381091,0.058229162585986,46.99497212133151,46.99497212133151
30.0,60.0,52.0,100.0,13.0,524.36,0.247,9.600000000000009,49.2,0.737,Saudi Arabia,-3.0882833474932205,0.9591150654959284,1.324150780756931,1.676654022484277,-2.5284890252192724,0.965428485921234,3.0620070426504147,59.996240437856876,59.996240437856876
19.0,14.0,67.0,46.0,5.0,245.26,0.04,5.400000000000006,17.4,0.887,Singapore,0.8342360645078267,0.2794729052450767,-0.495179005670479,0.0682638080214783,1.251570091284188,0.5381035249748164,0.1341989710031657,14.010029044394418,14.010029044394418
69.0,62.0,20.0,22.0,7.0,326.42,0.023,0.4000000000000057,6.299999999999997,0.926,Sweden,2.2292528156128166,-0.5769974986213897,-0.6368378750569891,-0.8383459350388074,-1.415975183335725,0.3926085357791998,0.4184973454169739,61.99555140817552,61.99555140817552
30.0,98.0,100.0,41.0,13.0,533.22,0.333,4.100000000000001,16.0,0.764,Thailand,-0.5056255749552905,3.614427197993832,0.3607307567580917,-0.1114660566827321,-1.5166790903927891,0.3140916571539923,0.8278581109481743,98.00279898320514,98.00279898320514
26.0,45.0,49.0,59.0,11.0,468.26,0.259,8.899999999999999,41.7,0.669,Tunisia,-2.28507230081901,0.4865547430809195,0.446565082441084,1.32569862961987,-1.559405369242456,0.7113803172562199,0.5513436661499377,45.0008411832841,45.0008411832841
26.0,84.0,41.0,41.0,18.0,521.83,0.272,19.60000000000001,37.60000000000001,0.665,Türkiye,-2.332138617749788,1.3483656171088036,0.4207643430423218,2.2163762037518966,-0.743841867582902,0.9991926964446668,0.3088332815962471,83.99379562596309,83.99379562596309
6.0,29.0,36.0,41.0,27.0,453.61,0.2,-0.4000000000000057,15.5,0.626,Ukraine,-0.4666260498724889,-0.1135757101270779,0.3973564818370114,-0.5698559667667381,-0.0428261955929943,-0.0710724205152675,-0.0260136856228804,28.98871501124217,28.98871501124217
75.0,81.0,21.0,24.0,25.0,456.31,0.179,-0.0999999999999943,11.200000000000005,0.823,United States,1.0195209391017288,-0.0827536263899061,0.0836004961509831,-0.702565524665361,-0.6012567831090195,0.422130030048637,0.0517081498308963,80.99044642064163,80.99044642064163
11.0,76.0,59.0,37.0,5.0,449.65,0.296,8.299999999999997,9.800000000000011,0.707,Viet Nam,-0.5263886127539372,1.916360454034946,-0.0827481461024708,0.0651816256968656,-0.5983880854990192,1.0517562229219974,0.0539034808709573,75.9895098861254,75.9895098861254
100.0,56.0,56.0,28.0,100.0,771.82,0.405,18.8,13.699999999999996,0.688,South Africa,-1.4485293098036327,-0.0172261786552998,2.391050906447177,1.237743071709389,-1.4492180965983883,2.9778606424819545,0.0073026918895916,56.00466993596034,56.00466993596034
