country,economic_development_index,gender_inequality_composite,youth_vulnerability_index,freedom_index,maternal_health_risk,econ_gender_interaction,freedom_inequality_interaction,youth_compound_risk,wpsi,seats_parliament,maternal_mortality,ip_violence_missing,wpsi_missing,ip_violence,predicted_ipv
Guinea,-2.0352525318886068,1.3284213906370768,0.3831088487191365,-1.059072634220461,1.843785719851116,-2.7036729987090946,-1.406894741536817,-0.3911912354514297,0.539,16.7,576.0,0,0,37.0,34.90948828760978
Gambia,-1.302670575607158,2.1093131252553423,-0.3967822280414547,0.0836986574518832,1.214483940020276,-2.74774014301211,0.1765466767295081,-0.3567580469972042,0.575,8.6,597.0,0,0,25.0,32.05883544090894
Guinea-Bissau,-2.9320775228688745,1.849625162576033,-0.0146881848688804,-0.5096833940552673,1.686689696997913,-5.423244364921874,-0.942723230591778,-0.5129002745582119,0.483,13.7,667.0,1,0,34.037701367200334,35.69671342522218
Equatorial Guinea,-0.7162222764384928,1.2028706128061593,0.7973019358603839,-0.795858175575284,1.5644510874312731,-0.8615227285649922,-0.9573144113610338,-0.189179629534733,0.619,20.3,301.0,0,0,46.0,32.201171914202035
Greece,1.0189993520031484,-0.5362697320216421,0.1150060351934468,0.4389838597118004,-0.8091064952332341,-0.5464585094289554,-0.2354137568094733,-0.4681716835833375,0.766,21.7,3.0,0,0,18.0,22.9828064603189
Grenada,0.0835427428322531,-0.7538950043895487,-0.2461420404146609,0.3245297707139071,-0.4438649008434701,-0.0629824564742364,-0.2446613729169002,0.0537122466595781,0.7441886240508107,32.1,25.0,0,1,28.0,23.230272151766457
Guatemala,0.230541184389115,1.3530854942099275,0.2991312332850124,0.4714507402310283,0.1212911176244252,0.3119419324148877,0.6379131578411371,0.1381550053499934,0.569,19.4,95.0,0,0,21.0,27.112708242836792
Guyana,0.3281190054097597,-0.7441599297585659,0.5938627878752724,-0.2432825448790972,0.3169048807332029,-0.2441730160181773,0.1810411215087141,0.5851144657226489,0.769,35.7,169.0,0,0,31.0,26.452574893480705
"Hong Kong, China (SAR)",2.4110569244806306,-0.9272192955882532,-0.9312523756132404,1.3474483465627871,-0.88548438962496,-2.2355785031401108,-1.249380106741504,0.9530500541827336,0.812,28.032056804924608,9.339447908044283,1,0,20.65072291351456,21.442331536966087
Honduras,-0.3255818448012739,0.8482886621794264,0.7617039709854123,0.04882570673808,0.158680270530411,-0.2761873875563823,0.0414182934488109,0.7581598230985286,0.61,27.3,65.0,0,0,17.0,27.466090181247004
Croatia,1.2380999105006574,-1.388436536926714,-0.2065308615612735,0.7615714454626886,-0.7967916070399312,-1.7190231521048072,-1.0573936203604872,-0.3979020366064921,0.862,31.1,8.0,0,0,13.0,21.082540018787206
Haiti,-1.5501456488884853,2.2274086011669896,1.0716925752715951,-0.0502782808558926,0.8168698962887424,-3.452807751395796,-0.1119902752303048,0.4281009816736925,0.431,2.7,480.0,0,0,23.0,34.91688514956246
Hungary,1.324775145655963,-0.2083082917938898,-0.6806594015726172,0.4257760569380562,-0.6112506106825749,-0.2759616476025953,-0.0886926831075044,0.5466575093334194,0.835,13.1,12.0,0,0,19.0,21.730458339394126
Indonesia,0.0759724142476089,0.8631583291694465,-0.4892393402712902,0.1076250359378049,-0.0935808182377798,0.0655762221449351,0.0928974461968773,0.158908837355285,0.7,21.0,177.0,0,0,22.0,25.57376172499667
India,-0.4036248469028969,2.1869318639143547,-0.7769923996543193,-0.2694701539108829,-0.4090607268424912,-0.8827000387594985,-0.5893128659616154,0.5890642967249605,0.595,13.4,133.0,0,0,35.0,28.699567973042832
Ireland,2.0872826991392164,-1.613450437882387,-0.7662918280797535,1.4825680069231804,-0.8387423273269388,-3.3677271849104997,-2.3920499999606237,0.7034128276992052,0.892,27.3,5.0,0,0,16.0,21.304932899811508
Iran (Islamic Republic of),-1.0843798306125545,2.0312301956724337,0.9271405261188866,-2.0332837161686497,-0.4964041794023166,-2.202625055518379,-4.130067280650819,-0.6370448822133508,0.557,5.6,16.0,0,0,31.0,29.172068539022895
Iraq,-0.8969564148199276,1.8865015335823887,3.032366447973725,-1.5513202035775766,0.0611987693277424,-1.692109652114355,-2.926567943126442,2.1990267774833256,0.424,28.9,79.0,0,0,26.0,29.64902032090123
Iceland,1.862308177363733,-2.580707094919031,-0.8041634902739924,1.403533191659339,-0.8474892663057858,-4.806071926248316,-3.622108065669608,0.7022125771806105,0.924,47.6,4.0,0,0,21.0,21.031283346920812
Israel,1.5019038214772944,-1.475976923469066,-0.6506448937783051,0.5459041510955204,-0.8208889227460838,-2.2167753817704905,-0.8057419294429583,0.4486490172112095,0.703,28.3,3.0,1,0,21.376146365584056,22.189414427342413
Italy,1.5456360455844025,-1.3145884832700512,-0.2850746232006727,0.9376582796791684,-0.8702197787136354,-2.0318753448523195,-1.2326347757090437,-0.2429217809293163,0.827,35.3,2.0,0,0,16.0,20.820850994459796
Jamaica,0.1162646956362985,-1.205689151849764,0.0172743910246159,0.6556865057052231,-0.3214927168425279,-0.1401790822717997,-0.790554106943066,-0.1372311171970549,0.71,31.0,80.0,0,0,24.0,25.185791607493602
Jordan,0.1667264992803928,1.8271302348088772,0.7039832378781444,0.0070269642120725,-0.4932094153195979,0.3046310277790463,0.0128391787707976,-0.5593158517533103,0.679,11.8,46.0,0,0,24.0,26.42392213347788
Japan,1.779979713072127,-0.9339213499449844,-0.7376767690838225,1.294434826596748,-0.8780170857031044,-1.6623610565070068,-1.2089003206710367,0.5856999115989795,0.866,14.2,5.0,0,0,20.0,21.390280168857156
